base_hp_config,subject,pool_type,train_loss_mean,train_acc_mean,val_loss_mean,val_acc_mean,test_loss_mean,test_acc_mean,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,0.9284014105796814,0.7503333333333334,1.549029278755188,0.32,1.5326524019241332,0.318,0.25117263805929063,0.12824888996703934,0.05087668249894612,0.04472135954999577,0.026590772965167462,0.016431676725154998
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,1.6024754285812377,0.24499999999999997,1.6076610803604126,0.198,1.6186832904815673,0.186,0.07058695341470762,0.07360744225657863,0.004435144228380954,0.024899799195977467,0.007085737661254274,0.01673320053068151
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,1.6024754285812377,0.24499999999999997,1.6076610803604126,0.198,1.6186832904815673,0.186,0.07058695341470762,0.07360744225657863,0.004435144228380954,0.024899799195977467,0.007085737661254274,0.01673320053068151
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,0.9620169639587403,0.6273333333333333,1.3904831647872924,0.434,1.5374948024749755,0.32599999999999996,0.10209823500149443,0.0612269207756229,0.03739271534613121,0.033615472627943205,0.0294625002549234,0.02302172886644268
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,1.6084403991699219,0.23866666666666664,1.6069854736328124,0.22200000000000003,1.6114802837371827,0.198,0.049762506274348285,0.04913699669744219,0.0047812378084264705,0.03271085446759226,0.004204737900466849,0.02049390153191921
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,0.1703075304627418,0.9856666666666667,1.1219310760498047,0.5740000000000001,1.4793754816055298,0.41600000000000004,0.03927981810644465,0.009398581453247795,0.04769909220516567,0.026076809620810586,0.08121381777264343,0.04037325847637271
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,0.1703075304627418,0.9856666666666667,1.1219310760498047,0.5740000000000001,1.4793754816055298,0.41600000000000004,0.03927981810644465,0.009398581453247795,0.04769909220516567,0.026076809620810586,0.08121381777264343,0.04037325847637271
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,0.9407922387123108,0.7287777777777777,1.3001562833786013,0.45599999999999996,1.5159082889556885,0.438,0.2196382900706655,0.07768188533140769,0.06586413616151429,0.03646916505762092,0.08664212549528172,0.06140032573203501
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,0.45510863661766054,0.9120000000000001,1.3568629980087281,0.47400000000000003,1.6175771713256837,0.418,0.28493972308499543,0.11486344549555837,0.06350380443366102,0.050299105359837164,0.1424803217832533,0.057183913821983186
bs128_lr0.0001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,1.5496325016021728,0.2914444444444444,1.5876756191253663,0.244,1.5888845205307007,0.244,0.021074012576205715,0.021916649063505128,0.00782672155994693,0.01816590212458496,0.004089123726712745,0.020736441353327733
